,Rent,Street,Area,Hood,Total-Area,Rooms
15,1450,Rua Doutor Mario Vianna,80 m² construídos2 quartos,largo-do-narradas,80,2.0
16,1500,Rua General Pereira Da Silva,150 m² construídos4 quartos,largo-do-narradas,150,4.0
17,2000,Rua Mem De Sá,100 m² construídos3 quartos,largo-do-narradas,100,3.0
18,2300,Rua Doutor Sardinha,60 m² construídos2 quartos,largo-do-narradas,60,2.0
19,850,Rua Manoel Corrêa,15 m² construídos1 quarto,largo-do-narradas,15,1.0
20,680,Rua Manoel Corrêa,15 m² construídos1 quarto,largo-do-narradas,15,1.0
21,5000,"Rua Tupiniquins, 587",300 m² construídos4 quartos,largo-do-narradas,300,4.0
22,900,"Rua Da Conceição,
                95",32 m² construídos,largo-do-narradas,32,2.1363636363636362
23,1400,,79 m² construídos2 quartos,largo-do-narradas,79,2.0
24,820,"Rua Doutor Borman,
                23",30 m² construídos,largo-do-narradas,30,2.1363636363636362
25,1100,"Rua Da Conceição,
                95",32 m² construídos,largo-do-narradas,32,2.1363636363636362
26,830,Estrada Francisco Da Cruz Nunes,52 m² construídos2 quartos,largo-do-narradas,52,2.0
27,2150,Rua Coronel Moreira César,84 m² construídos1 quarto,largo-do-narradas,84,1.0
28,3500,Avenida Quintino Bocaiúva,162 m² construídos2 quartos,largo-do-narradas,162,2.0
29,981,Rua Coronel Sebastião Dantas,74 m² construídos2 quartos,largo-do-narradas,74,2.0
30,1590,Avenida Visconde Do Rio Branco,70 m² construídos2 quartos,largo-do-narradas,70,2.0
31,1260,Rua Ministro Otávio Kelly,76 m² construídos2 quartos,largo-do-narradas,76,2.0
32,12490,Avenida Almirante Benjamin Sodré,600 m² construídos4 quartos,largo-do-narradas,600,4.0
33,1050,Rua Noronha Torrezão,70 m² construídos2 quartos,largo-do-narradas,70,2.0
34,2000,Avenida Almirante Ary Parreiras,110 m² construídos4 quartos,largo-do-narradas,110,4.0
35,850,Rua Visconde De Itaboraí,80 m² construídos2 quartos,largo-do-narradas,80,2.0
36,1250,Rua Doutor March,57 m² construídos2 quartos,largo-do-narradas,57,2.0
37,1150,Rua Pereira Nunes,70 m² construídos1 quarto,largo-do-narradas,70,1.0
38,1410,Rua Presidente Backer,70 m² construídos1 quarto,largo-do-narradas,70,1.0
39,1130,Travessa Santa Rosa Do Viterbo,85 m² construídos2 quartos,largo-do-narradas,85,2.0
40,2500,Avenida Sete De Setembro,160 m² construídos3 quartos,largo-do-narradas,160,3.0
41,12000,Estrada Leopoldo Fróes,353 m² construídos4 quartos,largo-do-narradas,353,4.0
42,1920,Travessa Manoel Benício,80 m² construídos2 quartos,largo-do-narradas,80,2.0
43,2100,Rua Álvares De Azevedo,120 m² construídos3 quartos,largo-do-narradas,120,3.0
44,1200,Rua Professor Lara Vilela,45 m² construídos1 quarto,largo-do-narradas,45,1.0
45,2000,Rua Doutor Tavares De Macedo,70 m² construídos2 quartos,largo-do-narradas,70,2.0
46,2800,Rua Nóbrega,70 m² construídos2 quartos,largo-do-narradas,70,2.0
47,2200,Rua Doutor Nilo Peçanha,95 m² construídos2 quartos,largo-do-narradas,95,2.0
0,1230,Travessa Faria,70 m² construídos2 quartos,largo-do-narradas,70,2.0
1,1600,Rua Fagundes Varela,80 m² construídos2 quartos,largo-do-narradas,80,2.0
2,1380,Estrada Francisco Da Cruz Nunes,66 m² construídos2 quartos,largo-do-narradas,66,2.0
3,2130,Rua Ministro Otávio Kelly,89 m² construídos2 quartos,largo-do-narradas,89,2.0
4,1810,Otávio Carneiro,80 m² construídos3 quartos,largo-do-narradas,80,3.0
5,2500,Rua Fagundes Varela,90 m² construídos2 quartos,largo-do-narradas,90,2.0
6,1400,Avenida Jornalista Alberto Francisco Torres,85 m² construídos3 quartos,largo-do-narradas,85,3.0
7,2300,Rua Coronel Moreira Cesar,80 m² construídos2 quartos,largo-do-narradas,80,2.0
8,990,Rua B,50 m² construídos1 quarto,largo-do-narradas,50,1.0
9,2200,Travessa Victor Pestre,171 m² construídos4 quartos,largo-do-narradas,171,4.0
10,1010,Travessa José Gomes Cruz,52 m² construídos2 quartos,largo-do-narradas,52,2.0
11,1500,Rua Domingos Sávio Nogueira Saad,70 m² construídos1 quarto,largo-do-narradas,70,1.0
12,2000,Rua Doutor Carlos Halfeld,120 m² construídos2 quartos,largo-do-narradas,120,2.0
13,9810,Avenida Almirante Benjamin Sodré,260 m² construídos4 quartos,largo-do-narradas,260,4.0
14,1850,Rua Comendador Queirós,69 m² construídos2 quartos,largo-do-narradas,69,2.0
15,1500,Rua Doutor Paulo Alves,90 m² construídos2 quartos,largo-do-narradas,90,2.0
16,1700,Avenida Ernani Do Amaral Peixoto,47 m² construídos1 quarto,largo-do-narradas,47,1.0
17,1880,Avenida Roberto Silveira,45 m² construídos1 quarto,largo-do-narradas,45,1.0
18,1650,Estrada Caetano Monteiro,70 m² construídos2 quartos,largo-do-narradas,70,2.0
19,650,Rua Professor Heitor Carrilho,20 m² construídos1 quarto,largo-do-narradas,20,1.0
20,890,Avenida Ernani Do Amaral Peixoto,35 m² construídos1 quarto,largo-do-narradas,35,1.0
21,1260,Rua Doutor Mário Viana,52 m² construídos1 quarto,largo-do-narradas,52,1.0
22,1070,Rua Professor Lara Vilela,45 m² construídos1 quarto,largo-do-narradas,45,1.0
23,640,Rua Coronel Gomes Machado,23 m² construídos1 quarto,largo-do-narradas,23,1.0
24,2000,Otavio Carneiro,40 m² construídos1 quarto,largo-do-narradas,40,1.0
25,1200,Rua Professor Lara Vilela,60 m² construídos1 quarto,largo-do-narradas,60,1.0
26,770,Travessa Elzir De Almeida Brandão,58 m² construídos2 quartos,largo-do-narradas,58,2.0
27,1800,,158 m² construídos3 quartos,largo-do-narradas,158,3.0
28,900,,130 m² construídos,largo-do-narradas,130,1.9777777777777779
29,1250,,64 m² construídos2 quartos,largo-do-narradas,64,2.0
30,1500,Rua Visconde De Itaboraí 166,150 m² construídos,largo-do-narradas,150,1.9777777777777779
31,800,"Rua General Castrioto, 572",72 m² construídos2 quartos,largo-do-narradas,72,2.0
32,750,Estrada Francisco Da Cruz Nunes,65 m² construídos2 quartos,largo-do-narradas,65,2.0
33,700,Estrada Francisco Da Cruz Nunes,58 m² construídos2 quartos,largo-do-narradas,58,2.0
34,1300,,72 m² construídos2 quartos,largo-do-narradas,72,2.0
35,1100,,60 m² construídos2 quartos,largo-do-narradas,60,2.0
36,2100,"Rua Benjamin Constant, 406",120 m² construídos4 quartos,largo-do-narradas,120,4.0
37,1300,,70 m² construídos2 quartos,largo-do-narradas,70,2.0
38,700,Travessa José De Alencar,100 m² construídos1 quarto,largo-do-narradas,100,1.0
39,800,Rua Benjamin Constant,56 m² construídos2 quartos,largo-do-narradas,56,2.0
40,950,,56 m² construídos2 quartos,largo-do-narradas,56,2.0
41,1300,Rua General Castrioto,70 m² construídos2 quartos,largo-do-narradas,70,2.0
42,1400,,65 m² construídos2 quartos,largo-do-narradas,65,2.0
43,750,Rua Benjamin Constant,60 m² construídos2 quartos,largo-do-narradas,60,2.0
44,3800,212 Lote91,"1,200 m² construídos5 quartos",largo-do-narradas,1200,5.0
45,600,Estrada Francisco Da Cruz Nunes,65 m² construídos2 quartos,largo-do-narradas,65,2.0
46,5000,Rua General Castrioto,500 m² construídos,largo-do-narradas,500,1.9777777777777779
47,700,,65 m² construídos1 quarto,largo-do-narradas,65,1.0
0,600,"Estrada Francisco Da Cruz Nunes, 695",65 m² construídos2 quartos,largo-do-narradas,65,2.0
1,750,Rua General Castrioto,60 m² construídos2 quartos,largo-do-narradas,60,2.0
2,600,"R. Benjamin Constant,",60 m² construídos2 quartos,largo-do-narradas,60,2.0
3,900,Rua Benjamin Constant 26,55 m² construídos2 quartos,largo-do-narradas,55,2.0
0,1380,Estrada Francisco Da Cruz Nunes,66 m² construídos2 quartos,largo-da-batalha,66,2.0
1,750,Estrada Francisco Da Cruz Nunes,65 m² construídos2 quartos,largo-da-batalha,65,2.0
2,700,Estrada Francisco Da Cruz Nunes,58 m² construídos2 quartos,largo-da-batalha,58,2.0
3,1300,,70 m² construídos2 quartos,largo-da-batalha,70,2.0
4,1400,,65 m² construídos2 quartos,largo-da-batalha,65,2.0
5,3800,212 Lote91,"1,200 m² construídos5 quartos",largo-da-batalha,1200,5.0
6,600,Estrada Francisco Da Cruz Nunes,65 m² construídos2 quartos,largo-da-batalha,65,2.0
7,600,"Estrada Francisco Da Cruz Nunes, 695",65 m² construídos2 quartos,largo-da-batalha,65,2.0
0,895,Estrada Pacheco De Carvalho,60 m² construídos2 quartos,maceio,60,2.0
1,1200,,58 m² construídos2 quartos,maceio,58,2.0
2,1350,Estrada Pacheco De Carvalho,78 m² construídos2 quartos,maceio,78,2.0
3,1500,"Estrada Engenheiro Pacheco De Carvalho, 900",140 m² construídos3 quartos,maceio,140,3.0
4,1500,Estrada Pacheco De Carvalho,140 m² construídos3 quartos,maceio,140,3.0
5,1100,,60 m² construídos2 quartos,maceio,60,2.0
0,4800,,300 m² construídos,maravista,300,2.0
1,1200,,85 m² construídos2 quartos,maravista,85,2.0
2,1100,,22 m² construídos,maravista,22,2.0
3,1450,,32 m² construídos,maravista,32,2.0
4,1250,,40 m² construídos,maravista,40,2.0
5,900,,56 m² construídos1 quarto,maravista,56,1.0
6,2400,,180 m² construídos3 quartos,maravista,180,3.0
0,6500,,200 m² construídos1 quarto,matapaca,200,1.0
1,2000,Rua Cândido Portinari,274 m² construídos5 quartos,matapaca,274,5.0
2,1700,"Rua Cândido Portinari, 80",250 m² construídos5 quartos,matapaca,250,5.0
0,2000,Rua São Paulo,90 m² construídos2 quartos,ponta-dareia,90,2.0
1,20000,24 Loc,998 m² construídos,ponta-dareia,998,2.0
2,20000,,940 m² construídos,ponta-dareia,940,2.0
0,1800,,194 m² construídos4 quartos,piratininga,194,4.0
1,900,,50 m² construídos1 quarto,piratininga,50,1.0
2,3500,,330 m² construídos5 quartos,piratininga,330,5.0
3,2000,,450 m² construídos3 quartos,piratininga,450,3.0
4,950,Avenida Conselheiro Paulo De Mello Kalle 735,60 m² construídos1 quarto,piratininga,60,1.0
0,1230,Travessa Faria,70 m² construídos2 quartos,pe-pequeno,70,2.0
1,5500,,200 m² construídos,pe-pequeno,200,2.25
2,1100,Travessa Faria,70 m² construídos2 quartos,pe-pequeno,70,2.0
3,3000,,100 m² construídos3 quartos,pe-pequeno,100,3.0
4,1600,,70 m² construídos2 quartos,pe-pequeno,70,2.0
0,690,"Rua Senador Fernandes Da Cunha, 1002",65 m² construídos2 quartos,rio-do-ouro,65,2.0
0,650,"Rua Noronha Torrezão,
                24",25 m² construídos,santa-rosa,25,2.0
1,1050,Rua Professor Otacílio,70 m² construídos2 quartos,santa-rosa,70,2.0
2,1450,Rua Doutor Mario Vianna,80 m² construídos2 quartos,santa-rosa,80,2.0
3,2300,Rua Doutor Sardinha,60 m² construídos2 quartos,santa-rosa,60,2.0
4,1600,Rua Américo Oberlaender,89 m² construídos2 quartos,santa-rosa,89,2.0
5,981,Rua Coronel Sebastião Dantas,74 m² construídos2 quartos,santa-rosa,74,2.0
6,1050,Rua Noronha Torrezão,70 m² construídos2 quartos,santa-rosa,70,2.0
7,1130,Travessa Santa Rosa Do Viterbo,85 m² construídos2 quartos,santa-rosa,85,2.0
8,1010,Travessa José Gomes Cruz,52 m² construídos2 quartos,santa-rosa,52,2.0
9,1200,Rua Noronha Torrezão,50 m² construídos1 quarto,santa-rosa,50,1.0
10,2400,Rua Noronha Torrezão,130 m² construídos2 quartos,santa-rosa,130,2.0
11,1260,Rua Doutor Mário Viana,52 m² construídos1 quarto,santa-rosa,52,1.0
12,2200,Rua Noronha Torrezão,60 m² construídos1 quarto,santa-rosa,60,1.0
13,770,Travessa Elzir De Almeida Brandão,58 m² construídos2 quartos,santa-rosa,58,2.0
14,800,,60 m² construídos2 quartos,santa-rosa,60,2.0
15,1650,,62 m² construídos2 quartos,santa-rosa,62,2.0
16,737,Rua Doutor Martins Tôrres,40 m² construídos2 quartos,santa-rosa,40,2.0
17,750,Rua Noronha Torrezão,60 m² construídos2 quartos,santa-rosa,60,2.0
18,850,"Rua Noronha Torrezão, 335",55 m² construídos2 quartos,santa-rosa,55,2.0
19,700,335 Bloco 2,42 m² construídos2 quartos,santa-rosa,42,2.0
20,600,Rua Noronha Torrezão,24 m² construídos,santa-rosa,24,2.0
21,950,Rua Coronel Sebastião Dantas,60 m² construídos3 quartos,santa-rosa,60,3.0
22,60000,Rua Noronha Torrezão,"1,290 m² construídos",santa-rosa,1290,2.0
23,2500,"Rua Doutor Mário Viana,
                416",34 m² construídos,santa-rosa,34,2.0
24,1300,,65 m² construídos2 quartos,santa-rosa,65,2.0
25,1650,,73 m² construídos2 quartos,santa-rosa,73,2.0
26,1100,Rua Professor Otacílio,75 m² construídos2 quartos,santa-rosa,75,2.0
27,1100,Rua Professor Otacílio,75 m² construídos2 quartos,santa-rosa,75,2.0
28,2300,,70 m² construídos2 quartos,santa-rosa,70,2.0
29,1650,Rua Doutor Paulo César,150 m² construídos,santa-rosa,150,2.0
30,2200,,74 m² construídos2 quartos,santa-rosa,74,2.0
31,1100,Rua Professor Otacílio,75 m² construídos2 quartos,santa-rosa,75,2.0
32,1200,,70 m² construídos2 quartos,santa-rosa,70,2.0
33,1000,Rua Doutor Mario Viana,90 m² construídos3 quartos,santa-rosa,90,3.0
34,700,"Rua Doutor Mário Viana, 734",65 m² construídos2 quartos,santa-rosa,65,2.0
35,1400,,68 m² construídos2 quartos,santa-rosa,68,2.0
36,1100,,51 m² construídos2 quartos,santa-rosa,51,2.0
37,1800,"Rua Doutor Mário Viana, 653",113 m² construídos2 quartos,santa-rosa,113,2.0
38,1800,,69 m² construídos2 quartos,santa-rosa,69,2.0
39,1650,"Rua Noronha Torrezão, 419",62 m² construídos2 quartos,santa-rosa,62,2.0
40,1800,,100 m² construídos3 quartos,santa-rosa,100,3.0
41,1300,,70 m² construídos2 quartos,santa-rosa,70,2.0
42,900,"Rua Noronha Torrezão, 335",55 m² construídos2 quartos,santa-rosa,55,2.0
43,1350,"Rua Newton Prado, 32",70 m² construídos2 quartos,santa-rosa,70,2.0
44,1200,"Rua Vereador Duque Estrada, 169",100 m² construídos2 quartos,santa-rosa,100,2.0
45,60000,,"1,290 m² construídos",santa-rosa,1290,2.0
46,2000,"Rua Noronha Torrezão, 63",80 m² construídos2 quartos,santa-rosa,80,2.0
47,1650,"Rua Noronha Torrezão, 196",85 m² construídos2 quartos,santa-rosa,85,2.0
0,3000,,220 m² construídos,santa-rosa,220,2.1875
1,1100,Rua Professor Otacílio,70 m² construídos2 quartos,santa-rosa,70,2.0
2,1400,,65 m² construídos2 quartos,santa-rosa,65,2.0
3,1150,,62 m² construídos2 quartos,santa-rosa,62,2.0
4,900,"Rua Coronel Sebastião Dantas, 12",80 m² construídos3 quartos,santa-rosa,80,3.0
5,1800,"Rua Vereador Duque Estrada, 141",60 m² construídos2 quartos,santa-rosa,60,2.0
6,1200,,68 m² construídos2 quartos,santa-rosa,68,2.0
7,15000,"Rua Doutor Paulo César, 320",440 m² construídos,santa-rosa,440,2.1875
8,1600,,81 m² construídos3 quartos,santa-rosa,81,3.0
9,1450,"Rua Doutor Mário Viana,
                728",200 m² construídos3 quartos,santa-rosa,200,3.0
10,1200,141 A,80 m² construídos2 quartos,santa-rosa,80,2.0
11,740,"Rua Coronel Sebastião Dantas, 56",60 m² construídos2 quartos,santa-rosa,60,2.0
12,1300,,60 m² construídos2 quartos,santa-rosa,60,2.0
13,800,,65 m² construídos2 quartos,santa-rosa,65,2.0
14,1000,,68 m² construídos2 quartos,santa-rosa,68,2.0
15,600,,55 m² construídos2 quartos,santa-rosa,55,2.0
16,650,"Rua Coronel Sebastião Dantas,
                12",65 m² construídos2 quartos,santa-rosa,65,2.0
17,750,,60 m² construídos2 quartos,santa-rosa,60,2.0
0,850,Rua Benjamin Constant,55 m² construídos2 quartos,santana,55,2.0
1,850,"Rua Benjamin Constant, 442",60 m² construídos2 quartos,santana,60,2.0
2,12000,Rua Benjamin Constant,630 m² construídos,santana,630,2.125
3,1000,Rua Benjamin Constant,55 m² construídos2 quartos,santana,55,2.0
4,2100,"Rua Benjamin Constant, 406",120 m² construídos4 quartos,santana,120,4.0
5,800,Rua Benjamin Constant,56 m² construídos2 quartos,santana,56,2.0
6,1350,Rua Benjamin Constant,60 m² construídos2 quartos,santana,60,2.0
7,700,,65 m² construídos1 quarto,santana,65,1.0
8,800,"Rua Benjamin Constant,
                472",55 m² construídos2 quartos,santana,55,2.0
0,830,Estrada Francisco Da Cruz Nunes,52 m² construídos2 quartos,sape,52,2.0
1,1000,,80 m² construídos2 quartos,sape,80,2.0
2,21000,,"2,000 m² construídos",sape,2000,2.6
3,3500,,170 m² construídos3 quartos,sape,170,3.0
4,950,,52 m² construídos2 quartos,sape,52,2.0
5,3200,,240 m² construídos4 quartos,sape,240,4.0
0,1262,Avenida Rui Barbosa,60 m² construídos1 quarto,sao-francisco,60,1.0
1,5000,"Rua Tupiniquins, 587",300 m² construídos4 quartos,sao-francisco,300,4.0
2,3500,Avenida Quintino Bocaiúva,162 m² construídos2 quartos,sao-francisco,162,2.0
3,12000,Estrada Leopoldo Fróes,353 m² construídos4 quartos,sao-francisco,353,4.0
4,8000,Rua Goitacazes,200 m² construídos3 quartos,sao-francisco,200,3.0
5,5000,"Rua Murilo Portugal, 112",150 m² construídos,sao-francisco,150,2.586206896551724
6,1700,"Travessa Wadih Curi, 29",75 m² construídos2 quartos,sao-francisco,75,2.0
7,5500,,180 m² construídos,sao-francisco,180,2.586206896551724
8,1150,37,60 m² construídos2 quartos,sao-francisco,60,2.0
9,5500,"Avenida Presidente Roosevelt, 405",160 m² construídos,sao-francisco,160,2.586206896551724
10,1700,,70 m² construídos3 quartos,sao-francisco,70,3.0
11,1200,,38 m² construídos,sao-francisco,38,2.586206896551724
12,5500,,250 m² construídos5 quartos,sao-francisco,250,5.0
13,8000,,180 m² construídos,sao-francisco,180,2.586206896551724
14,5500,Rua Nossa Senhora De Lourdes,155 m² construídos4 quartos,sao-francisco,155,4.0
15,1200,,38 m² construídos,sao-francisco,38,2.586206896551724
16,1000,Avenida Rui Barbosa,54 m² construídos,sao-francisco,54,2.586206896551724
17,900,,66 m² construídos1 quarto,sao-francisco,66,1.0
18,6000,,263 m² construídos4 quartos,sao-francisco,263,4.0
19,2200,,80 m² construídos2 quartos,sao-francisco,80,2.0
20,4000,"Avenida Rui Barbosa, 364",150 m² construídos2 quartos,sao-francisco,150,2.0
21,8500,,180 m² construídos,sao-francisco,180,2.586206896551724
22,800,"Rua Doutor Oliveira Botelho, 352",28 m² construídos,sao-francisco,28,2.586206896551724
23,5000,Rua Murilo Portugal,210 m² construídos,sao-francisco,210,2.586206896551724
24,3900,,120 m² construídos3 quartos,sao-francisco,120,3.0
25,1500,,80 m² construídos2 quartos,sao-francisco,80,2.0
26,3900,,120 m² construídos3 quartos,sao-francisco,120,3.0
27,2400,Avenida Rui Barbosa,98 m² construídos2 quartos,sao-francisco,98,2.0
28,2200,Avenida Quintino Bocaiúva,120 m² construídos3 quartos,sao-francisco,120,3.0
29,2600,Avenida Rui Barbosa,68 m² construídos2 quartos,sao-francisco,68,2.0
30,2300,Rua Araribóia,120 m² construídos3 quartos,sao-francisco,120,3.0
31,1650,Avenida Rui Barbosa,80 m² construídos1 quarto,sao-francisco,80,1.0
32,2600,Rua Araribóia,137 m² construídos3 quartos,sao-francisco,137,3.0
33,2300,"Avenida Presidente Roosevelt, 410",45 m² construídos,sao-francisco,45,2.586206896551724
34,900,"Avenida Rui Barbosa, 29",25 m² construídos,sao-francisco,25,2.586206896551724
35,8700,,500 m² construídos4 quartos,sao-francisco,500,4.0
36,12000,"Avenida Presidente Roosevelt, 410",80 m² construídos,sao-francisco,80,2.586206896551724
37,2300,"Avenida Presidente Roosevelt, 410",45 m² construídos,sao-francisco,45,2.586206896551724
38,1700,,70 m² construídos3 quartos,sao-francisco,70,3.0
39,850,Avenida Rui Barbosa,25 m² construídos1 quarto,sao-francisco,25,1.0
40,1900,Avenida Quintino Bocaiúva,50 m² construídos1 quarto,sao-francisco,50,1.0
41,10000,"Avenida Presidente Roosevelt, 410",180 m² construídos,sao-francisco,180,2.586206896551724
42,2300,"Avenida Presidente Roosevelt, 410",45 m² construídos,sao-francisco,45,2.586206896551724
43,1650,"Avenida Quintino Bocaiúva, 19",105 m² construídos2 quartos,sao-francisco,105,2.0
44,2300,,37 m² construídos,sao-francisco,37,2.586206896551724
45,15000,,250 m² construídos,sao-francisco,250,2.586206896551724
46,5500,Avenida Presidente Roosevelt,180 m² construídos,sao-francisco,180,2.586206896551724
47,3000,279,164 m² construídos3 quartos,sao-francisco,164,3.0
0,2500,410 Sala,"6,000 m² construídos",sao-francisco,6000,2.4615384615384617
1,2000,410,45 m² construídos,sao-francisco,45,2.4615384615384617
2,2000,410,45 m² construídos,sao-francisco,45,2.4615384615384617
3,2000,410,45 m² construídos,sao-francisco,45,2.4615384615384617
4,2000,410 Loc,45 m² construídos,sao-francisco,45,2.4615384615384617
5,2250,"Avenida Presidente Roosevelt, 5",85 m² construídos2 quartos,sao-francisco,85,2.0
6,2000,,75 m² construídos2 quartos,sao-francisco,75,2.0
7,20000,,500 m² construídos,sao-francisco,500,2.4615384615384617
8,12500,Avenida Quintino Bocaiúva,250 m² construídos,sao-francisco,250,2.4615384615384617
9,3900,"Avenida Rui Barbosa, 403",80 m² construídos,sao-francisco,80,2.4615384615384617
10,1500,,129 m² construídos2 quartos,sao-francisco,129,2.0
11,1200,"Avenida Quintino Bocaiúva, 583",40 m² construídos1 quarto,sao-francisco,40,1.0
12,1400,Avenida Rui Barbosa,40 m² construídos1 quarto,sao-francisco,40,1.0
13,25000,,400 m² construídos,sao-francisco,400,2.4615384615384617
14,1200,"Rua Aimorés, 126",36 m² construídos1 quarto,sao-francisco,36,1.0
15,700,"Avenida Quintino Bocaiúva, 325",32 m² construídos,sao-francisco,32,2.4615384615384617
16,1400,"Avenida Quintino Bocaiúva, 325",45 m² construídos,sao-francisco,45,2.4615384615384617
17,5550,Avenida Presidente Roosevelt,160 m² construídos,sao-francisco,160,2.4615384615384617
18,40000,Avenida Quintino Bocaiúva,470 m² construídos,sao-francisco,470,2.4615384615384617
19,15000,,250 m² construídos,sao-francisco,250,2.4615384615384617
20,40000,"Avenida Quintino Bocaiúva, 159",470 m² construídos,sao-francisco,470,2.4615384615384617
21,25000,"Avenida Quintino Bocaiúva, 183",251 m² construídos,sao-francisco,251,2.4615384615384617
22,25000,"Avenida Quintino Bocaiúva, 183",403 m² construídos,sao-francisco,403,2.4615384615384617
23,15000,"Avenida Quintino Bocaiúva, 183",251 m² construídos,sao-francisco,251,2.4615384615384617
24,15000,"Avenida Quintino Bocaiúva, 183",251 m² construídos,sao-francisco,251,2.4615384615384617
25,1100,"Avenida Rui Barbosa, 274",30 m² construídos,sao-francisco,30,2.4615384615384617
26,2500,,105 m² construídos2 quartos,sao-francisco,105,2.0
27,35000,"Avenida Quintino Bocaiúva, 159",480 m² construídos,sao-francisco,480,2.4615384615384617
28,25000,"Avenida Quintino Bocaiúva, 183",400 m² construídos,sao-francisco,400,2.4615384615384617
29,10000,"Avenida Presidente Roosevelt, 303",700 m² construídos4 quartos,sao-francisco,700,4.0
30,35000,"Avenida Quintino Bocaiúva, 183",480 m² construídos,sao-francisco,480,2.4615384615384617
31,1120,"Rua General Rondon, 159",60 m² construídos2 quartos,sao-francisco,60,2.0
32,1300,"Rua Desembargador Gastão Pache De Faria, 64",145 m² construídos4 quartos,sao-francisco,145,4.0
33,3900,,191 m² construídos4 quartos,sao-francisco,191,4.0
34,2900,,215 m² construídos4 quartos,sao-francisco,215,4.0
35,3600,,250 m² construídos3 quartos,sao-francisco,250,3.0
0,1300,,60 m² construídos2 quartos,tenente-jardim,60,2.0
0,2200,Rua Vital Brasil Filho,110 m² construídos3 quartos,vital-brazil,110,3.0
1,2500,07,105 m² construídos3 quartos,vital-brazil,105,3.0
2,3000,,105 m² construídos3 quartos,vital-brazil,105,3.0
