;Rent;Street;Hood;Total-Area;Rooms
26;1800;Avenida Engenheiro Martins Romeo;inga;70.0;2
27;1800;Rua Doutor Nilo Peçanha, 1;inga;152.0;3
28;2000;;inga;29.0;2
29;1500;Rua Tiradentes;inga;100.0;3
30;1200;;inga;58.0;2
31;1500;Rua Visconde De Morais, 270;inga;130.0;3
32;1250;;inga;60.0;2
33;15000;;inga;380.0;7
34;1350;;inga;70.0;2
35;2000;Rua São Sebastião;inga;140.0;4
36;1150;;inga;50.0;1
37;8900;;inga;290.0;4
38;4500;155;inga;280.0;4
39;1650;38 Bloco 2 Loc;inga;60.0;2
40;3000;27;inga;410.0;4
41;7800;75 Loc;inga;205.0;4
42;3500;106 Loja;inga;200.0;2
43;2200;270 B;inga;59.0;2
44;1500;Rua Presidente Pedreira, 35;inga;122.0;2
45;1600;;inga;100.0;3
46;6300;Rua Visconde De Morais, 251;inga;200.0;4
47;1600;Rua Fagundes Varella;inga;85.0;2
0;1800;Rua Presidente Pedreira, 38;inga;60.0;2
1;3500;;inga;180.0;3
2;1750;;inga;90.0;2
3;1250;Rua Fagundes Varela;inga;62.0;2
4;6000;251 Casa;inga;300.0;4
5;2300;Rua Fagundes Varela;inga;250.0;5
6;1300;;inga;80.0;2
7;2500;;inga;350.0;4
8;1200;;inga;60.0;2
9;2100000;Rua Tiradentes 71 202;inga;70.0;2
0;2100;Rua Juciara;ilha-da-conceicao;100.0;3
1;2100;;ilha-da-conceicao;90.0;3
2;1250;Rua Juciara;ilha-da-conceicao;60.0;2
3;1200;;ilha-da-conceicao;43.0;2
0;1900;;itacoatiara;90.0;2
1;4500;;itacoatiara;110.0;3
2;2000;1035 Bl 03 Loc;itacoatiara;110.0;3
3;2000;99 Loc 04;itacoatiara;112.0;4
4;8000;;itacoatiara;1000.0;4
5;1500;;itacoatiara;120.0;3
0;800;Estrada Frei Orlando, 566;jacare;56.0;2
1;1150;;jacare;55.0;2
2;1200;Estrada Frei Orlando, 567;jacare;60.0;2
3;1200;567 Bloco 7 Ap 607 Loc;jacare;52.0;2
4;1200;566 Bl 05;jacare;52.0;2
5;1000;;jacare;55.0;2
0;2000;;jardim-fluminense;80.0;2
1;2500;;jardim-fluminense;100.0;3
2;4500;;jardim-fluminense;75.0;3
3;1500;;jardim-fluminense;70.0;2
4;1500;;jardim-fluminense;70.0;2
0;1700;;jardim-icarai;80.0;2
1;1900;;jardim-icarai;85.0;2
2;2200;;jardim-icarai;87.0;2
3;15000;;jardim-icarai;440.0;2
0;598;Rua Doutor March;largo-do-narradas;64.0;2
1;650;"Rua Noronha Torrezão,
                24";largo-do-narradas;25.0;2
2;2000;Rua Miguel De Frias;largo-do-narradas;50.0;1
3;2800;Avenida Prefeito Sylvio Picanço;largo-do-narradas;113.0;3
4;750;Rua São João;largo-do-narradas;30.0;1
5;1500;Rua Marquês De Paraná;largo-do-narradas;65.0;2
6;1050;Rua Professor Otacílio;largo-do-narradas;70.0;2
7;3200;Rua Dom Bosco;largo-do-narradas;114.0;3
8;1500;Rua General Pereira Da Silva;largo-do-narradas;150.0;4
9;1480;Rua Domingues De Sá;largo-do-narradas;70.0;1
10;1350;Rua Presidente Pedreira;largo-do-narradas;58.0;2
11;1100;Avenida Jornalista Alberto Francisco Torres;largo-do-narradas;40.0;1
12;1650;Rua Doutor March, 329 - Barreto, Niterói - Rj, Brasil;largo-do-narradas;50.0;2
13;2000;Rua Mem De Sá;largo-do-narradas;100.0;3
14;1450;Rua Doutor Mario Vianna;largo-do-narradas;80.0;2
15;2300;Rua Doutor Sardinha;largo-do-narradas;60.0;2
16;1850;Rua Barão Do Amazonas;largo-do-narradas;60.0;2
17;1300;Rua Joaquim Távora;largo-do-narradas;66.0;1
18;2500;Rua General Pereira Da Silva;largo-do-narradas;140.0;3
19;5000;Rua Tupiniquins, 587;largo-do-narradas;300.0;4
20;900;"Rua Da Conceição,
                95";largo-do-narradas;32.0;2
21;1400;;largo-do-narradas;79.0;2
22;820;"Rua Doutor Borman,
                23";largo-do-narradas;30.0;2
23;1100;"Rua Da Conceição,
                95";largo-do-narradas;32.0;2
24;800;Estrada Francisco Da Cruz Nunes;largo-do-narradas;52.0;2
25;700;Travessa José De Alencar;largo-do-narradas;35.0;1
26;2150;Rua Coronel Moreira César;largo-do-narradas;84.0;1
27;3500;Avenida Quintino Bocaiúva;largo-do-narradas;162.0;2
28;1590;Avenida Visconde Do Rio Branco;largo-do-narradas;70.0;2
29;1260;Rua Ministro Otávio Kelly;largo-do-narradas;76.0;2
30;1050;Rua Noronha Torrezão;largo-do-narradas;70.0;2
31;2000;Avenida Almirante Ary Parreiras;largo-do-narradas;110.0;4
32;850;Rua Visconde De Itaboraí;largo-do-narradas;80.0;2
33;1250;Rua Doutor March;largo-do-narradas;57.0;2
34;1150;Rua Pereira Nunes;largo-do-narradas;70.0;1
35;1410;Rua Presidente Backer;largo-do-narradas;70.0;1
36;1130;Travessa Santa Rosa Do Viterbo;largo-do-narradas;85.0;2
37;2500;Avenida Sete De Setembro;largo-do-narradas;160.0;3
38;2000;Rua Doutor Tavares De Macedo;largo-do-narradas;70.0;2
39;12000;Estrada Leopoldo Fróes;largo-do-narradas;353.0;4
40;2200;Rua Doutor Nilo Peçanha;largo-do-narradas;95.0;2
41;1920;Travessa Manoel Benício;largo-do-narradas;80.0;2
42;2100;Rua Álvares De Azevedo;largo-do-narradas;120.0;3
43;1050;Alameda São Boaventura;largo-do-narradas;120.0;3
44;1200;Rua Professor Lara Vilela;largo-do-narradas;45.0;1
45;2800;Rua Nóbrega;largo-do-narradas;70.0;2
46;1230;Travessa Faria;largo-do-narradas;70.0;2
47;1600;Rua Fagundes Varela;largo-do-narradas;80.0;2
0;1810;Otávio Carneiro;largo-do-narradas;80.0;3
1;1400;Avenida Jornalista Alberto Francisco Torres;largo-do-narradas;85.0;3
2;1380;Estrada Francisco Da Cruz Nunes;largo-do-narradas;66.0;2
3;2130;Rua Ministro Otávio Kelly;largo-do-narradas;89.0;2
4;2500;Rua Fagundes Varela;largo-do-narradas;90.0;2
5;2300;Rua Coronel Moreira Cesar;largo-do-narradas;80.0;2
6;1010;Travessa José Gomes Cruz;largo-do-narradas;52.0;2
7;990;Rua B;largo-do-narradas;50.0;1
8;2200;Travessa Victor Pestre;largo-do-narradas;171.0;4
9;1500;Rua Domingos Sávio Nogueira Saad;largo-do-narradas;70.0;1
10;9810;Avenida Almirante Benjamin Sodré;largo-do-narradas;260.0;4
11;1850;Rua Comendador Queirós;largo-do-narradas;69.0;2
12;1500;Rua Doutor Paulo Alves;largo-do-narradas;90.0;2
13;1700;Avenida Ernani Do Amaral Peixoto;largo-do-narradas;47.0;1
14;1880;Avenida Roberto Silveira;largo-do-narradas;45.0;1
15;1650;Estrada Caetano Monteiro;largo-do-narradas;70.0;2
16;650;Rua Professor Heitor Carrilho;largo-do-narradas;20.0;1
17;890;Avenida Ernani Do Amaral Peixoto;largo-do-narradas;35.0;1
18;850;Rua Manoel Corrêa;largo-do-narradas;15.0;1
19;1260;Rua Doutor Mário Viana;largo-do-narradas;52.0;1
20;1070;Rua Professor Lara Vilela;largo-do-narradas;45.0;1
21;640;Rua Coronel Gomes Machado;largo-do-narradas;23.0;1
22;680;Rua Manoel Corrêa;largo-do-narradas;15.0;1
23;2000;Otavio Carneiro;largo-do-narradas;40.0;1
24;1200;Rua Professor Lara Vilela;largo-do-narradas;60.0;1
25;770;Travessa Elzir De Almeida Brandão;largo-do-narradas;58.0;2
26;1800;;largo-do-narradas;158.0;3
27;1900;;largo-do-narradas;280.0;1,95
28;900;;largo-do-narradas;130.0;1,95
29;1250;;largo-do-narradas;64.0;2
30;300;;largo-do-narradas;30.0;1,95
31;1500;Rua Visconde De Itaboraí 166;largo-do-narradas;150.0;1,95
32;800;Rua General Castrioto, 572;largo-do-narradas;72.0;2
33;750;Estrada Francisco Da Cruz Nunes;largo-do-narradas;65.0;2
34;700;Estrada Francisco Da Cruz Nunes;largo-do-narradas;58.0;2
35;1300;;largo-do-narradas;72.0;2
36;1100;;largo-do-narradas;60.0;2
37;2100;Rua Benjamin Constant, 406;largo-do-narradas;120.0;4
38;1300;;largo-do-narradas;70.0;2
39;700;Travessa José De Alencar;largo-do-narradas;100.0;1
40;800;Rua Benjamin Constant;largo-do-narradas;56.0;2
41;950;;largo-do-narradas;56.0;2
42;1300;Rua General Castrioto;largo-do-narradas;70.0;2
43;1400;;largo-do-narradas;65.0;2
44;750;Rua Benjamin Constant;largo-do-narradas;60.0;2
45;3800;212 Lote91;largo-do-narradas;1200.0;5
46;600;Estrada Francisco Da Cruz Nunes;largo-do-narradas;65.0;2
47;5000;Rua General Castrioto;largo-do-narradas;500.0;1,95
0;700;;largo-do-narradas;65.0;1
1;600;Estrada Francisco Da Cruz Nunes, 695;largo-do-narradas;65.0;2
2;750;Rua General Castrioto;largo-do-narradas;60.0;2
3;900;Rua Benjamin Constant 26;largo-do-narradas;55.0;2
0;1380;Estrada Francisco Da Cruz Nunes;largo-da-batalha;66.0;2
1;750;Estrada Francisco Da Cruz Nunes;largo-da-batalha;65.0;2
2;700;Estrada Francisco Da Cruz Nunes;largo-da-batalha;58.0;2
3;1300;;largo-da-batalha;70.0;2
4;1400;;largo-da-batalha;65.0;2
5;3800;212 Lote91;largo-da-batalha;1200.0;5
6;600;Estrada Francisco Da Cruz Nunes;largo-da-batalha;65.0;2
7;600;Estrada Francisco Da Cruz Nunes, 695;largo-da-batalha;65.0;2
0;895;Estrada Pacheco De Carvalho;maceio;60.0;2
1;1200;;maceio;58.0;2
2;1350;Estrada Pacheco De Carvalho;maceio;78.0;2
3;1500;Estrada Engenheiro Pacheco De Carvalho, 900;maceio;140.0;3
4;1500;Estrada Pacheco De Carvalho;maceio;140.0;3
5;1100;;maceio;60.0;2
0;4800;;maravista;300.0;2
1;1200;;maravista;85.0;2
2;1100;;maravista;22.0;2
3;1450;;maravista;32.0;2
4;1250;;maravista;40.0;2
5;800;;maravista;77.0;2
6;900;;maravista;56.0;1
7;2400;;maravista;180.0;3
0;6500;;matapaca;200.0;1
1;2000;Rua Cândido Portinari;matapaca;274.0;5
2;1700;Rua Cândido Portinari, 80;matapaca;250.0;5
3;2000;;matapaca;274.0;5
0;2000;Rua São Paulo;ponta-dareia;90.0;2
1;20000;24 Loc;ponta-dareia;998.0;2
2;20000;;ponta-dareia;940.0;2
0;1427;Rua Presidente Pedreira;piratininga;43.0;1
1;1400;;piratininga;79.0;2
2;2200;Rua Doutor Nilo Peçanha;piratininga;95.0;2
3;1600;Avenida Do Guaca;piratininga;52.0;2
4;5300;;piratininga;250.0;5
5;1300;;piratininga;40.0;1
6;5000;;piratininga;480.0;3,06
7;3000;;piratininga;100.0;2
8;2500;35 Casa C;piratininga;152.0;3
9;1300;;piratininga;65.0;3
10;16000;Loteamento Cafuba;piratininga;92.0;3
11;2000;;piratininga;346.0;3,06
12;10000;;piratininga;250.0;6
13;5300;Rua Altevo Do Vale E Silva;piratininga;127.0;3
14;4000;Avenida Do Guaca;piratininga;210.0;4
15;3400;;piratininga;290.0;4
16;5000;;piratininga;290.0;4
17;5000;;piratininga;60.0;3,06
18;2200;;piratininga;266.0;3,06
19;3213;Avenida Do Guaca;piratininga;25.0;3,06
20;1000;;piratininga;55.0;2
21;1200;Avenida Do Guaca;piratininga;200.0;5
22;4000;;piratininga;260.0;4
23;4300;Rua José Joaquim Pereira Caldas, 93;piratininga;470.0;4
24;8000;Rua Geógrafo Amora, 3;piratininga;396.0;5
25;6000;;piratininga;450.0;5
26;6500;;piratininga;93.0;1
27;2500;;piratininga;120.0;4
28;3200;;piratininga;580.0;3,06
29;27000;;piratininga;98.0;3
30;2130;Rua Presidente Pedreira;piratininga;36.0;3,06
31;1300;;piratininga;250.0;3,06
32;7500;Estrada Francisco Da Cruz Nunes;piratininga;140.0;3
33;2200;;piratininga;90.0;2
34;2200;Rua Doutor Nilo Peçanha;piratininga;130.0;4
35;3200;Rua Tiradentes;piratininga;83.0;2
36;1800;Rua Doutor Nilo Peçanha;piratininga;140.0;4
37;2400;Rua General Andrade Neves;piratininga;60.0;3,06
38;1000;;piratininga;280.0;3,06
39;10000;;piratininga;49.0;3,06
40;1000;;piratininga;30.0;3,06
41;1450;;piratininga;40.0;1
42;1200;;piratininga;60.0;3,06
43;3500;;piratininga;35.0;3,06
44;3600;;piratininga;30.0;3,06
45;1800;Estrada Francisco Da Cruz Nunes, 836;piratininga;25.0;3,06
46;1600;;piratininga;55.0;1
47;2000;Rua Doutor Paulo Alves;piratininga;0.0;3,06
0;6000;;piratininga;690.0;4
1;1800;;piratininga;194.0;4
2;900;;piratininga;50.0;1
3;3500;;piratininga;330.0;5
4;2000;;piratininga;450.0;3
5;950;Avenida Conselheiro Paulo De Mello Kalle 735;piratininga;60.0;1
0;1230;Travessa Faria;pe-pequeno;70.0;2
1;5500;;pe-pequeno;200.0;2
2;1100;Travessa Faria;pe-pequeno;70.0;2
3;3000;;pe-pequeno;100.0;3
4;1600;;pe-pequeno;70.0;2
0;690;Rua Senador Fernandes Da Cunha, 1002;rio-do-ouro;65.0;2
0;650;"Rua Noronha Torrezão,
                24";santa-rosa;25.0;2,02
1;1050;Rua Professor Otacílio;santa-rosa;70.0;2
2;1450;Rua Doutor Mario Vianna;santa-rosa;80.0;2
3;2300;Rua Doutor Sardinha;santa-rosa;60.0;2
4;1600;Rua Américo Oberlaender;santa-rosa;89.0;2
5;1050;Rua Noronha Torrezão;santa-rosa;70.0;2
6;1130;Travessa Santa Rosa Do Viterbo;santa-rosa;85.0;2
7;1010;Travessa José Gomes Cruz;santa-rosa;52.0;2
8;1200;Rua Noronha Torrezão;santa-rosa;50.0;1
9;2400;Rua Noronha Torrezão;santa-rosa;130.0;2
10;1260;Rua Doutor Mário Viana;santa-rosa;52.0;1
11;2200;Rua Noronha Torrezão;santa-rosa;60.0;1
12;770;Travessa Elzir De Almeida Brandão;santa-rosa;58.0;2
13;750;Rua Noronha Torrezão;santa-rosa;60.0;2
14;850;Rua Noronha Torrezão, 335;santa-rosa;55.0;2
15;700;335 Bloco 2;santa-rosa;42.0;2
16;600;Rua Noronha Torrezão;santa-rosa;24.0;2,02
17;800;;santa-rosa;60.0;2
18;950;Rua Coronel Sebastião Dantas;santa-rosa;60.0;3
19;60000;Rua Noronha Torrezão;santa-rosa;1290.0;2,02
20;2500;"Rua Doutor Mário Viana,
                416";santa-rosa;34.0;2,02
21;1650;;santa-rosa;73.0;2
22;1300;;santa-rosa;65.0;2
23;1100;Rua Professor Otacílio;santa-rosa;75.0;2
24;1100;Rua Professor Otacílio;santa-rosa;75.0;2
25;2300;;santa-rosa;70.0;2
26;1650;Rua Doutor Paulo César;santa-rosa;150.0;2,02
27;2200;;santa-rosa;74.0;2
28;1100;Rua Professor Otacílio;santa-rosa;75.0;2
29;1000;Rua Doutor Mario Viana;santa-rosa;90.0;3
30;1650;;santa-rosa;62.0;2
31;1200;;santa-rosa;70.0;2
32;700;Rua Doutor Mário Viana, 734;santa-rosa;65.0;2
33;1400;;santa-rosa;68.0;2
34;1800;Rua Doutor Mário Viana, 653;santa-rosa;113.0;2
35;1800;;santa-rosa;69.0;2
36;1650;Rua Noronha Torrezão, 419;santa-rosa;62.0;2
37;1800;;santa-rosa;100.0;3
38;1300;;santa-rosa;70.0;2
39;900;Rua Noronha Torrezão, 335;santa-rosa;55.0;2
40;1350;Rua Newton Prado, 32;santa-rosa;70.0;2
41;1200;Rua Vereador Duque Estrada, 169;santa-rosa;100.0;2
42;981;Rua Coronel Sebastião Dantas;santa-rosa;74.0;2
43;60000;;santa-rosa;1290.0;2,02
44;2000;Rua Noronha Torrezão, 63;santa-rosa;80.0;2
45;1650;Rua Noronha Torrezão, 196;santa-rosa;85.0;2
46;737;Rua Doutor Martins Tôrres;santa-rosa;40.0;2
47;2500;Rua Doutor Sardinha, 194;santa-rosa;115.0;3
0;3000;;santa-rosa;220.0;2
1;1100;Rua Professor Otacílio;santa-rosa;70.0;2
2;1400;;santa-rosa;65.0;2
3;1150;;santa-rosa;62.0;2
4;900;Rua Coronel Sebastião Dantas, 12;santa-rosa;80.0;3
5;1800;Rua Vereador Duque Estrada, 141;santa-rosa;60.0;2
6;1200;;santa-rosa;68.0;2
7;15000;Rua Doutor Paulo César, 320;santa-rosa;440.0;2
8;1600;;santa-rosa;81.0;3
9;1450;"Rua Doutor Mário Viana,
                728";santa-rosa;200.0;3
10;1200;141 A;santa-rosa;80.0;2
11;740;Rua Coronel Sebastião Dantas, 56;santa-rosa;60.0;2
12;1300;;santa-rosa;60.0;2
13;800;;santa-rosa;65.0;2
14;1000;;santa-rosa;68.0;2
15;600;;santa-rosa;55.0;2
16;650;"Rua Coronel Sebastião Dantas,
                12";santa-rosa;65.0;2
17;750;;santa-rosa;60.0;2
0;850;Rua Benjamin Constant;santana;55.0;2
1;850;Rua Benjamin Constant, 442;santana;60.0;2
2;12000;Rua Benjamin Constant;santana;630.0;2
3;1000;Rua Benjamin Constant;santana;55.0;2
4;2100;Rua Benjamin Constant, 406;santana;120.0;4
5;800;Rua Benjamin Constant;santana;56.0;2
6;1350;Rua Benjamin Constant;santana;60.0;2
7;700;;santana;65.0;1
8;800;"Rua Benjamin Constant,
                472";santana;55.0;2
0;800;Estrada Francisco Da Cruz Nunes;sape;52.0;2
1;1000;;sape;80.0;2
2;21000;;sape;2000.0;2
3;3500;;sape;170.0;3
4;950;;sape;52.0;2
5;3200;;sape;240.0;4
0;5000;Rua Tupiniquins, 587;sao-francisco;300.0;4
1;3500;Avenida Quintino Bocaiúva;sao-francisco;162.0;2
2;12000;Estrada Leopoldo Fróes;sao-francisco;353.0;4
3;8000;Rua Goitacazes;sao-francisco;200.0;3
4;5000;Rua Murilo Portugal, 112;sao-francisco;150.0;2,59
5;1262;Avenida Rui Barbosa;sao-francisco;60.0;1
6;1700;Travessa Wadih Curi, 29;sao-francisco;75.0;2
7;5500;;sao-francisco;180.0;2,59
8;1150;37;sao-francisco;60.0;2
9;5500;Avenida Presidente Roosevelt, 405;sao-francisco;160.0;2,59
10;1700;;sao-francisco;70.0;3
11;1200;;sao-francisco;38.0;2,59
12;5500;;sao-francisco;250.0;5
13;8000;;sao-francisco;180.0;2,59
14;5500;Rua Nossa Senhora De Lourdes;sao-francisco;155.0;4
15;1200;;sao-francisco;38.0;2,59
16;1000;Avenida Rui Barbosa;sao-francisco;54.0;2,59
17;900;;sao-francisco;66.0;1
18;6000;;sao-francisco;263.0;4
19;2200;;sao-francisco;80.0;2
20;4000;Avenida Rui Barbosa, 364;sao-francisco;150.0;2
21;800;Rua Doutor Oliveira Botelho, 352;sao-francisco;28.0;2,59
22;8500;;sao-francisco;180.0;2,59
23;5000;Rua Murilo Portugal;sao-francisco;210.0;2,59
24;3900;;sao-francisco;120.0;3
25;1500;;sao-francisco;80.0;2
26;3900;;sao-francisco;120.0;3
27;2200;Avenida Quintino Bocaiúva;sao-francisco;120.0;3
28;2400;Avenida Rui Barbosa;sao-francisco;98.0;2
29;2600;Avenida Rui Barbosa;sao-francisco;68.0;2
30;2300;Rua Araribóia;sao-francisco;120.0;3
31;1650;Avenida Rui Barbosa;sao-francisco;80.0;1
32;2600;Rua Araribóia;sao-francisco;137.0;3
33;2300;Avenida Presidente Roosevelt, 410;sao-francisco;45.0;2,59
34;900;Avenida Rui Barbosa, 29;sao-francisco;25.0;2,59
35;8700;;sao-francisco;500.0;4
36;12000;Avenida Presidente Roosevelt, 410;sao-francisco;80.0;2,59
37;2300;Avenida Presidente Roosevelt, 410;sao-francisco;45.0;2,59
38;1700;;sao-francisco;70.0;3
39;850;Avenida Rui Barbosa;sao-francisco;25.0;1
40;1900;Avenida Quintino Bocaiúva;sao-francisco;50.0;1
41;10000;Avenida Presidente Roosevelt, 410;sao-francisco;180.0;2,59
42;2300;Avenida Presidente Roosevelt, 410;sao-francisco;45.0;2,59
43;1650;Avenida Quintino Bocaiúva, 19;sao-francisco;105.0;2
44;2300;;sao-francisco;37.0;2,59
45;15000;;sao-francisco;250.0;2,59
46;5500;Avenida Presidente Roosevelt;sao-francisco;180.0;2,59
47;3000;279;sao-francisco;164.0;3
0;2500;410 Sala;sao-francisco;6000.0;2,46
1;2000;410;sao-francisco;45.0;2,46
2;2000;410;sao-francisco;45.0;2,46
3;2000;410;sao-francisco;45.0;2,46
4;2000;410 Loc;sao-francisco;45.0;2,46
5;2250;Avenida Presidente Roosevelt, 5;sao-francisco;85.0;2
6;2000;;sao-francisco;75.0;2
7;20000;;sao-francisco;500.0;2,46
8;12500;Avenida Quintino Bocaiúva;sao-francisco;250.0;2,46
9;3900;Avenida Rui Barbosa, 403;sao-francisco;80.0;2,46
10;1500;;sao-francisco;129.0;2
11;1200;Avenida Quintino Bocaiúva, 583;sao-francisco;40.0;1
12;1400;Avenida Rui Barbosa;sao-francisco;40.0;1
13;25000;;sao-francisco;400.0;2,46
14;1200;Rua Aimorés, 126;sao-francisco;36.0;1
15;700;Avenida Quintino Bocaiúva, 325;sao-francisco;32.0;2,46
16;1400;Avenida Quintino Bocaiúva, 325;sao-francisco;45.0;2,46
17;5550;Avenida Presidente Roosevelt;sao-francisco;160.0;2,46
18;40000;Avenida Quintino Bocaiúva;sao-francisco;470.0;2,46
19;15000;;sao-francisco;250.0;2,46
20;40000;Avenida Quintino Bocaiúva, 159;sao-francisco;470.0;2,46
21;25000;Avenida Quintino Bocaiúva, 183;sao-francisco;251.0;2,46
22;25000;Avenida Quintino Bocaiúva, 183;sao-francisco;403.0;2,46
23;15000;Avenida Quintino Bocaiúva, 183;sao-francisco;251.0;2,46
24;15000;Avenida Quintino Bocaiúva, 183;sao-francisco;251.0;2,46
25;1100;Avenida Rui Barbosa, 274;sao-francisco;30.0;2,46
26;2500;;sao-francisco;105.0;2
27;35000;Avenida Quintino Bocaiúva, 159;sao-francisco;480.0;2,46
28;25000;Avenida Quintino Bocaiúva, 183;sao-francisco;400.0;2,46
29;10000;Avenida Presidente Roosevelt, 303;sao-francisco;700.0;4
30;35000;Avenida Quintino Bocaiúva, 183;sao-francisco;480.0;2,46
31;1120;Rua General Rondon, 159;sao-francisco;60.0;2
32;1300;Rua Desembargador Gastão Pache De Faria, 64;sao-francisco;145.0;4
33;3900;;sao-francisco;191.0;4
34;2900;;sao-francisco;215.0;4
35;3600;;sao-francisco;250.0;3
0;1300;;tenente-jardim;60.0;2
0;2200;Rua Vital Brasil Filho;vital-brazil;110.0;3
1;2500;7;vital-brazil;105.0;3
2;3000;;vital-brazil;105.0;3
